36,20,50,28,118,31,73,10,8,26,1
35,20,60,48,180,106,41,13,10,18,1
32,20,46,28,99,29,70,140,8,21,1
32,34,56,40,159,72,54,10,9,24,1
36,20,76,59,308,177,42,13,12,24,1
36,20,74,55,293,149,49,11,11,24,1
36,20,63,50,201,119,41,10,10,16,1
36,20,51,31,125,39,69,13,15,20,1
36,20,56,45,154,94,39,10,10,26,1
32,20,60,52,180,126,49,11,10,24,1
32,20,59,45,175,91,47,8,6,21,1
34,20,56,38,154,62,59,12,9,17,1
32,20,48,54,111,50,54,12,10,16,1
32,20,71,51,264,125,53,11,9,12,1
32,20,53,37,140,57,57,13,9,19,1
38,20,63,46,202,99,50,12,10,17,1
36,20,47,30,102,35,65,10,9,21,1
36,20,50,38,121,61,42,9,9,18,1
39,38,64,45,211,92,56,9,9,15,1
36,20,58,40,169,72,57,12,12,22,1
39,45,64,47,211,104,50,12,12,17,1
36,20,55,40,145,69,52,7,9,19,1
32,20,59,46,175,96,45,9,12,21,1
39,38,69,50,249,120,51,9,12,20,1
32,20,44,26,89,23,73,7,7,23,1
39,20,59,44,175,89,49,12,12,28,1
30,40,64,50,211,116,45,6,10,17,1
33,43,68,52,239,139,46,7,9,17,1
32,20,50,32,119,40,66,11,11,12,1
35,20,52,39,132,66,50,9,9,26,1
32,20,56,42,158,78,50,11,11,26,1
32,20,60,48,182,106,41,9,10,26,1
32,20,64,51,210,125,40,9,8,26,1
32,20,70,61,259,185,28,7,9,25,1
30,40,58,44,168,90,46,9,8,17,1
30,40,58,44,167,91,45,9,8,17,1
32,20,62,45,193,91,52,7,11,20,1
32,20,62,45,192,94,51,6,9,22,1
35,20,78,62,330,197,40,13,12,26,1
35,20,62,48,196,108,45,14,9,18,1
35,20,66,56,226,154,31,10,9,30,1
39,48,67,56,234,156,33,9,11,28,1
32,20,65,51,215,125,41,11,10,23,1
32,20,53,40,134,71,47,8,9,29,1
32,20,64,56,213,153,26,7,10,19,1
27,20,59,45,170,90,46,6,9,12,1
32,20,72,62,276,191,30,9,10,28,1
32,20,53,39,137,66,51,10,10,22,1
33,20,48,31,108,39,63,11,11,17,1
33,20,54,41,139,73,47,8,7,17,1
33,20,48,34,108,49,54,8,9,17,1
33,20,51,38,124,64,48,6,6,17,1
30,44,64,51,208,127,38,11,11,48,1
30,44,57,44,159,90,44,9,10,29,1
32,20,64,48,212,106,45,7,9,15,1
32,20,54,31,144,37,74,9,9,36,1
35,20,58,38,168,61,63,9,9,17,1
35,44,74,65,289,219,24,7,9,20,1
35,44,74,60,294,178,39,7,9,20,1
30,42,66,53,223,138,37,9,9,19,1
33,20,53,46,139,99,28,17,6,26,1
32,20,69,48,250,109,52,13,11,18,1
35,20,61,47,187,105,42,12,10,35,1
39,48,69,57,249,162,35,9,11,28,0
36,20,51,30,121,34,71,16,15,16,1
34,20,58,41,167,76,54,13,9,17,1
32,20,52,38,132,60,54,11,11,25,0
32,20,58,42,167,79,52,8,9,21,0
32,20,46,34,97,47,51,16,9,14,1
32,20,51,35,124,51,58,11,9,13,1
37,32,48,34,106,47,55,9,8,17,1
32,20,51,32,123,41,65,13,11,23,1
36,20,61,55,185,149,19,11,11,28,1
34,36,55,36,150,54,64,140,10,12,1
34,43,54,36,144,56,61,100,9,17,1
34,43,58,35,165,52,68,90,9,24,1
35,20,45,31.5,195,35,53.9,9,9,17,1
36,20,49,36,111,55,50,14,12,21,1
35,20,50,32,119,76,54,9,9,17,1
35,20,47,32,104,40,61,26,20,17,1
35,20,52,36,133,55,58,8,9,11,1
32,20,55,40,146,72,51,9,10,12,1
32,45,47,35,101,50,47,9,9,36,2
33,20,65,55,213,151,29,7,10,17,1
32,20,61,46,188,98,47,7,7,17,1
36,20,51,32,124,42,66,8,9,19,1
36,20,46,32,98,41,55,11,11,22,1
30,44,58,43,167,87,48,160,10,47,1
31,20,46,29,158,31,68,9,8,20,1
36,20,65,50,217,117,46,9,8,23,1
29,20,51,36,127,55,56,11,11,17,1
35,20,59,49,174,113,35,8,9,12,1
36,20,59,44,178,76,40,8,9,20,1
36,20,57,47,161,105,35,10,12,21,1
36,20,56,42,154,7.8,48,11,6,26,1
36,20,65,49,213,114,46,10,11,28,1
35,20,60,48,178,106,40,90,8,17,1
32,20,55,43,149,85,43,8,9,14,1
31,46,70,60,253,181,28,6,7,17,1
33,48,69,59,251,171,31,5,8,17,1
35,20,65,47,219,101,53,9,10,17,1
40,49,73,58,277,165,40,13,12,17,1
35,20,45,29,92,31,66,9,9,17,1
35,20,52,33,130,43,67,14,9,17,1
38,38,53,34,135,48,64,14,10,28,1
45,32,49,28,114,30,73,13,10,22,1
35,20,68,56,242,152,37,9,9,17,1
39,42,67,53,232,134,42,10,10,17,1
36,37,40,39,147,67,53,12,12,17,1
35,20,69,52,248,132,46,10,10,17,1
35,20,71,56,264,155,41,8,9,17,1
